step,loss,learning_rate,cross_entropy,train_accuracy,global_step_per_sec
45951,0.830956,0.01,0.517216,0.767978,9.1215
46342,0.456116,0.01,0.145988,0.769395,9.11008
46735,0.535467,0.01,0.228815,0.770683,9.2291
47128,0.566838,0.01,0.263639,0.771799,9.22889
47521,0.656402,0.01,0.356565,0.772771,9.20486
47914,0.754848,0.01,0.458223,0.774098,9.23912
48306,0.511959,0.01,0.218412,0.775161,9.182
48699,0.66243,0.01,0.372046,0.776281,9.25149
49092,0.595422,0.01,0.308005,0.777513,9.27866
49482,0.363781,0.01,0.079291,0.778325,9.23437
49874,0.652477,0.01,0.370904,0.779425,9.22204
50269,0.52366,0.01,0.244881,0.780733,9.1329
50663,0.458431,0.01,0.182378,0.781667,9.15538
51056,0.60893,0.01,0.335498,0.782523,9.23945
51448,0.508907,0.01,0.238069,0.783399,9.31099
51841,0.501793,0.01,0.233508,0.784325,9.26412
52234,0.522497,0.01,0.256726,0.785359,9.33281
52627,0.519181,0.01,0.255863,0.7865,9.25275
53019,0.442067,0.01,0.181016,0.787653,9.22343
53413,0.528722,0.01,0.269932,0.788522,9.229
53806,0.632323,0.01,0.375815,0.789644,9.21395
54199,0.280174,0.01,0.0258923,0.790778,9.28166
54594,0.470407,0.01,0.21821,0.791726,9.16968
54988,0.624108,0.01,0.373921,0.792681,9.30417
55382,0.700212,0.01,0.451975,0.793474,9.28925
55779,0.458507,0.01,0.212176,0.794414,9.25842
56174,0.509711,0.01,0.265224,0.795531,9.31085
56568,0.41613,0.01,0.173355,0.796545,9.15967
56963,0.469536,0.01,0.22851,0.797345,9.02221
57356,0.386177,0.01,0.146815,0.798092,9.2991
57751,0.572459,0.01,0.334714,0.799011,9.19647
58144,0.496713,0.01,0.26057,0.8,9.22749
58537,0.548177,0.01,0.313494,0.800743,9.26665
58930,0.452934,0.001,0.218744,0.801707,9.30501
59325,0.497668,0.001,0.263764,0.802466,9.16763
59719,0.467076,0.001,0.233463,0.803451,9.19584
60112,0.429034,0.001,0.195707,0.804316,9.27972
60505,0.331507,0.001,0.0984686,0.805257,9.21178
60900,0.566459,0.001,0.333709,0.806026,9.15902
61296,0.555514,0.001,0.323057,0.806727,9.29499
